OR,COMP1021,COMP1022P,COMP2011,COMP2012H
OR,LANG2030
OR,HIDE,MATH1012,MATH1013,MATH1023
OR,HIDE,MATH1014,MATH1024
AND,HIDE,3,4
OR,HIDE,MATH1020
OR,5,6
OR,MATH2111,MATH2350,MATH2351
OR,MATH2011
OR,PHYS1112,PHYS1312
