OR,SHOW,COMP1021,COMP1022P,COMP2011,COMP2012H
OR,SHOW,LANG2030
OR,HIDE,MATH1012,MATH1013,MATH1023
OR,HIDE,MATH1014,MATH1024
AND,HIDE,2,3
OR,HIDE,MATH1020
OR,SHOW,4,5
OR,SHOW,MATH2111,MATH2350,MATH2351
OR,SHOW,MATH2011
OR,SHOW,PHYS1112,PHYS1312
